,주소,커피빈입점
0, 서울특별시 서초구 반포대로70 ,1
1," 서울 서초구 서초중앙로 156, 1층 ",1
2," 서울시 중구 장충동2가 188-11, 188-4, 188-5 ",1
3,  서울특별시 송파구 올림픽로35길 123 1층 ,1
4," 서울시 종로구 우정국로 26 센트로폴리스 1층 Retail 1-5,6 ",1
5," 서울시 마포구 와우산로10길 3, 엘케이빌딩 1~3층 ",1
6, 서울특별시 종로구 종로3길 34 ,1
7, 서울시 동대문구 경희대로 10 (회기동) ,1
8, 서울특별시 송파구 법원로6길 11 환인빌딩 1층  ,1
9," 서울특별시 종로구 새문안로 91 고려빌딩 1,2층  ",1
10, 서울특별시 강남구 선릉로 433 세방빌딩 1층 ,1
11, 서울시 용산구 한강대로95 ,1
12, 서울시 영등포구 국제금융로10 IFC Mall L2(2층) ,1
13, 서울 송파구 방이동 206-11 ,1
14, 서울특별시 강서구 마곡동로 55 마커스빌딩 1층 ,1
15, 서울특별시 강서구 강서로 457(마곡동) ,1
16," 서울시 은평구 은평로 121(응암동), 메디컬빌딩 ",1
17, 서울특별시 마포구 양화로 196(동교동) ,1
18," 서울특별시 강남구  강남대로112길 20 1층, 2층 ",1
19, 서울특별시 강남구 도곡로 408 디마크빌딩 1층 ,1
20, 서울특별시 성북구 삼선교로 12 1층 ,1
21, 서울특별시 종로구 대학로 128 2층 ,1
22, 서울시 송파구 위례광장로 230 위례2차 아이파크 B동 1층 ,1
23, 서울시 서초구 강남대로 475 2층 ,1
24," 서울특별시 마포구 월드컵로 3길 14, 푸르지오 2차 1층 ",1
25, 서울특별시 송파구 충민로 66 가든파이브 라이프동 테크노관 1층 ,1
26, 서울특별시 영등포구 국제금융로8길31 여의도SK증권빌딩점 1층 ,1
27, 서울특별시 광진구 구의강변로 106 삼성쉐르빌 1층 ,1
28," 서울특별시 강북구 한천로 139길 25, 1층 일부 및 2층 (수유동 191-70) ",1
29," 서울특별시 강남구 도곡동 543-1, 지오빌딩 B1층 ",1
30," 서울시 송파구 방이동 44-2, 장은빌딩 1층 ",1
31, 서울시 종로구 종로 70 2층 ,1
32," 서울시 마포구 독막로 13, 2층 ",1
33," 서울시 노원구 노해로 490, 길빌딩 2층 ",1
34, 서울특별시 강동구 동남로 885 양지빌딩 1층 ,1
35, 서울특별시 중랑구 망우로 291 1층 ,1
36, 서울 송파구 문정동 643-1번지 엠스테이트 B동 지하1층 ,1
37, 서울특별시 송파구 송파대로 111 송파파크하비오 205동 1층 110-113 ,1
38, 서울특별시 서초구 서초대로 397 부띠크모나코 1층 ,1
39, 서울특별시 강남구 테헤란로 111 2층 ,1
40," 서울특별시 송파구 송파대로 111, 송파 파크하비오 하비오길 극장로 203동 지하1층 ",1
41, 서울시 마포구 양화로18안길 7 2층 ,1
42, 서울시 강동구 올림픽로 659 쌍용플래티넘리버 1층 ,1
43, 서울시 서초구 신반포로47길 5 건물전체 1~3층 ,1
44, 서울시 강남구 역삼동 718-20  태광타워 1층 ,1
45, 서울시 영등포구 문래동6가 5번지 1층 ,1
46, 서울시 서초구 동산로 1  1층 ,1
47, 서울시 강남구 삼성로 352 창진빌딩 1층 및 2층 ,1
48, 서울시 서초구 서초대로 250 스타갤러리 브릿지 1층 101호 ,1
49," 서울시 동대문구 장안동 372-1, 1층 일부 및 2층 전체 ",1
