,광역시도,시도,커피빈입점,ID,y,x
0,강원도,원주시,1.0,원주,5,10
1,경기도,광명시,1.0,광명,4,4
2,경기도,구리시,1.0,구리,3,8
3,경기도,군포시,1.0,군포,9,5
4,경기도,김포시,2.0,김포,3,4
5,경기도,남양주시,1.0,남양주,2,7
6,경기도,이천시,1.0,이천,6,9
7,경기도,파주시,2.0,파주,3,2
8,경기도,평택시,1.0,평택,11,4
9,경기도,하남시,1.0,하남,3,9
10,경기도,화성시,5.0,화성,9,3
11,경상남도,진주시,1.0,진주,18,6
12,경상북도,경주시,1.0,경주,12,12
13,광주광역시,서구,1.0,광주 서구,22,2
14,대구광역시,중구,1.0,대구 중구,14,9
15,대전광역시,서구,2.0,대전 서구,16,4
16,부산광역시,기장군,1.0,부산 기장,16,12
17,부산광역시,부산진구,2.0,부산 부산진,17,10
18,부산광역시,수영구,1.0,부산 수영,20,11
19,부산광역시,중구,2.0,부산 중구,18,11
20,부산광역시,해운대구,2.0,부산 해운대,17,12
21,서울특별시,강남구,12.0,서울 강남,8,6
22,서울특별시,강동구,3.0,서울 강동,5,8
23,서울특별시,강북구,1.0,서울 강북,3,5
24,서울특별시,강서구,3.0,서울 강서,6,4
25,서울특별시,관악구,1.0,서울 관악,7,5
26,서울특별시,광진구,1.0,서울 광진,6,7
27,서울특별시,구로구,1.0,서울 구로,9,4
28,서울특별시,노원구,1.0,서울 노원,2,6
29,서울특별시,동대문구,2.0,서울 동대문,4,7
30,서울특별시,마포구,7.0,서울 마포,5,5
31,서울특별시,서대문구,1.0,서울 서대문,4,5
32,서울특별시,서초구,8.0,서울 서초,7,6
33,서울특별시,성북구,2.0,서울 성북,3,6
34,서울특별시,송파구,11.0,서울 송파,6,8
35,서울특별시,양천구,1.0,서울 양천,7,4
36,서울특별시,영등포구,3.0,서울 영등포,8,4
37,서울특별시,용산구,2.0,서울 용산,6,6
38,서울특별시,은평구,1.0,서울 은평,5,4
39,서울특별시,종로구,5.0,서울 종로,4,6
40,서울특별시,중구,3.0,서울 중구,5,6
41,서울특별시,중랑구,1.0,서울 중랑,4,8
42,세종특별자치시,세종시,1.0,세종,13,4
43,울산광역시,남구,2.0,울산 남구,15,12
44,인천광역시,남동구,1.0,인천 남동,10,2
45,인천광역시,부평구,1.0,인천 부평,8,2
46,인천광역시,연수구,2.0,인천 연수,10,1
47,인천광역시,중구,4.0,인천 중구,9,1
48,0,0,0.0,철원,0,7
49,0,0,0.0,화천,0,8
50,0,0,0.0,양구,0,9
51,0,0,0.0,고성(강원),0,10
52,0,0,0.0,양주,1,3
53,0,0,0.0,동두천,1,4
54,0,0,0.0,연천,1,5
55,0,0,0.0,포천,1,6
56,0,0,0.0,의정부,1,7
57,0,0,0.0,인제,1,8
58,0,0,0.0,춘천,1,9
59,0,0,0.0,속초,1,10
60,0,0,0.0,고양 덕양,2,3
61,0,0,0.0,고양 일산동,2,4
62,0,0,0.0,서울 도봉,2,5
63,0,0,0.0,홍천,2,8
64,0,0,0.0,횡성,2,9
65,0,0,0.0,양양,2,10
66,0,0,0.0,고양 일산서,3,3
67,0,0,0.0,가평,3,7
68,0,0,0.0,정선,3,10
69,0,0,0.0,강릉,3,11
70,0,0,0.0,부천 소사,4,2
71,0,0,0.0,안양 만안,4,3
72,0,0,0.0,양평,4,9
73,0,0,0.0,태백,4,10
74,0,0,0.0,동해,4,11
75,0,0,0.0,인천 강화,5,1
76,0,0,0.0,부천 원미,5,2
77,0,0,0.0,안양 동안,5,3
78,0,0,0.0,서울 성동,5,7
79,0,0,0.0,여주,5,9
80,0,0,0.0,삼척,5,11
81,0,0,0.0,인천 서구,6,1
82,0,0,0.0,부천 오정,6,2
83,0,0,0.0,시흥,6,3
84,0,0,0.0,서울 동작,6,5
85,0,0,0.0,평창,6,10
86,0,0,0.0,울진,6,11
87,0,0,0.0,인천 동구,7,1
88,0,0,0.0,인천 계양,7,2
89,0,0,0.0,안산 상록,7,3
90,0,0,0.0,성남 중원,7,7
91,0,0,0.0,과천,7,8
92,0,0,0.0,광주,7,9
93,0,0,0.0,영월,7,10
94,0,0,0.0,영덕,7,11
95,0,0,0.0,안산 단원,8,3
96,0,0,0.0,서울 금천,8,5
