,스타벅스입점,ID,커피빈입점
0,3.0,강릉,0.0
1,1.0,고성(강원),0.0
2,1.0,동해,0.0
3,3.0,속초,0.0
4,6.0,원주,1.0
5,5.0,춘천,0.0
6,3.0,홍천,0.0
7,3.0,과천,0.0
8,8.0,광명,1.0
9,2.0,광주,0.0
10,3.0,구리,1.0
11,4.0,군포,1.0
12,8.0,김포,2.0
13,7.0,남양주,1.0
14,2.0,동두천,0.0
15,5.0,시흥,0.0
16,2.0,안성,0.0
17,4.0,양주,0.0
18,1.0,양평,0.0
19,3.0,여주,0.0
20,3.0,오산,0.0
21,1.0,의왕,0.0
22,10.0,의정부,0.0
23,5.0,이천,1.0
24,5.0,파주,2.0
25,5.0,평택,1.0
26,2.0,포천,0.0
27,9.0,하남,1.0
28,11.0,화성,5.0
29,4.0,거제,0.0
30,9.0,김해,0.0
31,2.0,사천,0.0
32,7.0,양산,0.0
33,6.0,진주,1.0
34,1.0,통영,0.0
35,6.0,경산,0.0
36,7.0,경주,1.0
37,9.0,구미,0.0
38,2.0,김천,0.0
39,1.0,문경,0.0
40,2.0,안동,0.0
41,11.0,광주 광산,0.0
42,7.0,광주 남구,0.0
43,7.0,광주 동구,0.0
44,10.0,광주 북구,0.0
45,14.0,광주 서구,1.0
46,18.0,대구 달서,0.0
47,2.0,대구 달성,0.0
48,8.0,대구 동구,0.0
49,7.0,대구 북구,0.0
50,1.0,대구 서구,0.0
51,18.0,대구 수성,0.0
52,9.0,대구 중구,1.0
53,4.0,대전 대덕,0.0
54,4.0,대전 동구,0.0
55,21.0,대전 서구,2.0
56,11.0,대전 유성,0.0
57,7.0,대전 중구,0.0
58,2.0,부산 강서,0.0
59,7.0,부산 금정,0.0
60,3.0,부산 기장,1.0
61,6.0,부산 남구,0.0
62,2.0,부산 동구,0.0
63,7.0,부산 동래,0.0
64,17.0,부산 부산진,2.0
65,2.0,부산 북구,0.0
66,3.0,부산 사상,0.0
67,7.0,부산 사하,0.0
68,3.0,부산 서구,0.0
69,7.0,부산 수영,1.0
70,5.0,부산 연제,0.0
71,6.0,부산 중구,2.0
72,27.0,부산 해운대,2.0
73,76.0,서울 강남,12.0
74,13.0,서울 강동,3.0
75,5.0,서울 강북,1.0
76,14.0,서울 강서,3.0
77,10.0,서울 관악,1.0
78,14.0,서울 광진,1.0
79,10.0,서울 구로,1.0
80,10.0,서울 금천,0.0
81,12.0,서울 노원,1.0
82,2.0,서울 도봉,0.0
83,8.0,서울 동대문,2.0
84,8.0,서울 동작,0.0
85,32.0,서울 마포,7.0
86,21.0,서울 서대문,1.0
87,45.0,서울 서초,8.0
88,9.0,서울 성동,0.0
89,11.0,서울 성북,2.0
90,29.0,서울 송파,11.0
91,14.0,서울 양천,1.0
92,35.0,서울 영등포,3.0
93,17.0,서울 용산,2.0
94,8.0,서울 은평,1.0
95,38.0,서울 종로,5.0
96,50.0,서울 중구,3.0
97,6.0,서울 중랑,1.0
98,7.0,세종,1.0
99,13.0,울산 남구,2.0
100,2.0,울산 동구,0.0
101,4.0,울산 북구,0.0
102,1.0,울산 울주,0.0
103,5.0,울산 중구,0.0
104,2.0,인천 계양,0.0
105,9.0,인천 남동,1.0
106,1.0,인천 동구,0.0
107,9.0,인천 부평,1.0
108,6.0,인천 서구,0.0
109,10.0,인천 연수,2.0
110,7.0,인천 중구,4.0
111,1.0,광양,0.0
112,1.0,나주,0.0
113,5.0,목포,0.0
114,1.0,무안,0.0
115,4.0,순천,0.0
116,5.0,여수,0.0
117,2.0,군산,0.0
118,3.0,익산,0.0
119,1.0,정읍,0.0
120,9.0,서귀포,0.0
121,8.0,제주,0.0
122,1.0,계룡,0.0
123,2.0,공주,0.0
124,1.0,논산,0.0
125,2.0,당진,0.0
126,2.0,서산,0.0
127,4.0,아산,0.0
128,1.0,제천,0.0
129,4.0,충주,0.0
130,0.0,철원,0.0
131,0.0,화천,0.0
132,0.0,양구,0.0
133,0.0,연천,0.0
134,0.0,인제,0.0
135,0.0,고양 덕양,0.0
136,0.0,고양 일산동,0.0
137,0.0,횡성,0.0
138,0.0,양양,0.0
139,0.0,고양 일산서,0.0
140,0.0,가평,0.0
141,0.0,정선,0.0
142,0.0,부천 소사,0.0
143,0.0,안양 만안,0.0
144,0.0,태백,0.0
145,0.0,인천 강화,0.0
146,0.0,부천 원미,0.0
147,0.0,안양 동안,0.0
148,0.0,삼척,0.0
149,0.0,부천 오정,0.0
150,0.0,평창,0.0
151,0.0,울진,0.0
152,0.0,안산 상록,0.0
153,0.0,성남 중원,0.0
154,0.0,영월,0.0
155,0.0,영덕,0.0
156,0.0,안산 단원,0.0
157,0.0,성남 분당,0.0
158,0.0,성남 수정,0.0
159,0.0,용인 수지,0.0
160,0.0,봉화,0.0
161,0.0,울릉,0.0
162,0.0,인천 남구,0.0
163,0.0,수원 영통,0.0
164,0.0,용인 기흥,0.0
165,0.0,용인 처인,0.0
166,0.0,영양,0.0
167,0.0,인천 옹진,0.0
168,0.0,수원 권선,0.0
169,0.0,수원 장안,0.0
170,0.0,예천,0.0
171,0.0,영주,0.0
172,0.0,청송,0.0
173,0.0,포항 북구,0.0
174,0.0,태안,0.0
175,0.0,천안 동남,0.0
176,0.0,천안 서북,0.0
177,0.0,음성,0.0
178,0.0,수원 팔달,0.0
179,0.0,단양,0.0
180,0.0,상주,0.0
181,0.0,군위,0.0
182,0.0,의성,0.0
183,0.0,포항 남구,0.0
184,0.0,홍성,0.0
185,0.0,예산,0.0
186,0.0,진천,0.0
187,0.0,청주 흥덕,0.0
188,0.0,괴산,0.0
189,0.0,칠곡,0.0
190,0.0,영천,0.0
191,0.0,보령,0.0
192,0.0,청양,0.0
193,0.0,증평,0.0
194,0.0,청주 청원,0.0
195,0.0,보은,0.0
196,0.0,고령,0.0
197,0.0,청도,0.0
198,0.0,성주,0.0
199,0.0,부여,0.0
200,0.0,청주 상당,0.0
201,0.0,청주 서원,0.0
202,0.0,서천,0.0
203,0.0,금산,0.0
204,0.0,옥천,0.0
205,0.0,영동,0.0
206,0.0,대구 남구,0.0
207,0.0,무주,0.0
208,0.0,거창,0.0
209,0.0,합천,0.0
210,0.0,부안,0.0
211,0.0,김제,0.0
212,0.0,완주,0.0
213,0.0,장수,0.0
214,0.0,함양,0.0
215,0.0,창녕,0.0
216,0.0,밀양,0.0
217,0.0,고창,0.0
218,0.0,전주 덕진,0.0
219,0.0,진안,0.0
220,0.0,남원,0.0
221,0.0,의령,0.0
222,0.0,영광,0.0
223,0.0,장성,0.0
224,0.0,전주 완산,0.0
225,0.0,임실,0.0
226,0.0,산청,0.0
227,0.0,함안,0.0
228,0.0,창원 합포,0.0
229,0.0,함평,0.0
230,0.0,담양,0.0
231,0.0,순창,0.0
232,0.0,구례,0.0
233,0.0,하동,0.0
234,0.0,창원 의창,0.0
235,0.0,창원 성산,0.0
236,0.0,창원 진해,0.0
237,0.0,부산 영도,0.0
238,0.0,신안,0.0
239,0.0,곡성,0.0
240,0.0,화순,0.0
241,0.0,창원 회원,0.0
242,0.0,고흥,0.0
243,0.0,남해,0.0
244,0.0,고성(경남),0.0
245,0.0,해남,0.0
246,0.0,영암,0.0
247,0.0,진도,0.0
