,주소,스타벅스입점,광역시도,시도
0,서울특별시 강남구 언주로 425 (역삼동)02-568-3762,1,서울특별시,강남구
1,서울특별시 강남구 강남대로 538 (논현동)02-3442-3672,1,서울특별시,강남구
2,서울특별시 강남구 테헤란로 125 (역삼동)02-568-3668,1,서울특별시,강남구
3,서울특별시 강남구 남부순환로 2947 (대치동)02-568-3704,1,서울특별시,강남구
4,서울특별시 강남구 테헤란로 518 (대치동)02-568-3648,1,서울특별시,강남구
5,서울특별시 강남구 언주로 861 (신사동)02-541-3622,1,서울특별시,강남구
6,서울특별시 강남구 광평로 281 (수서동)02-6181-3688,1,서울특별시,강남구
7,서울특별시 강남구 남부순환로 2621 (도곡동)02-571-3604,1,서울특별시,강남구
8,서울특별시 강남구 테헤란로 409 (삼성동)02-2051-3562,1,서울특별시,강남구
9,서울특별시 강남구 봉은사로 446 (삼성동)02-539-3564,1,서울특별시,강남구
10,서울특별시 강남구 봉은사로2길 39 (역삼동)02-557-3484,1,서울특별시,강남구
11,서울특별시 강남구 영동대로 513 (삼성동)02-6002-3467,1,서울특별시,강남구
12,서울특별시 강남구 학동로 419 (청담동)02-514-3397,1,서울특별시,강남구
13,서울특별시 강남구 도곡로 205 (역삼동)02-565-3496,1,서울특별시,강남구
14,서울특별시 강남구 강남대로 390 (역삼동)02-561-3478,1,서울특별시,강남구
15,서울특별시 강남구 도곡로 457 (대치동)02-554-3315,1,서울특별시,강남구
16,서울특별시 강남구 영동대로 720 (청담동)02-3443-3371,1,서울특별시,강남구
17,서울특별시 강남구 압구정로30길 17 (신사동)02-541-3306,1,서울특별시,강남구
18,서울특별시 강남구 압구정로12길 32 (신사동)02-3446-3356,1,서울특별시,강남구
19,서울특별시 강남구 도산대로57길 24 (청담동)02-514-3364,1,서울특별시,강남구
20,서울특별시 강남구 강남대로 328 (역삼동)02-565-3347,1,서울특별시,강남구
21,서울특별시 강남구 도산대로 328 (논현동) HS빌딩02-758-8971,1,서울특별시,강남구
22,서울특별시 강남구 삼성로 402 (대치동)02-561-3287,1,서울특별시,강남구
23,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩02-554-3235,1,서울특별시,강남구
24,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)02-758-8896",1,서울특별시,강남구
25,서울특별시 강남구 도산대로 108 (논현동) 렉스타워02-758-8848,1,서울특별시,강남구
26,서울특별시 강남구 남부순환로 2909 (대치동)02-758-8809,1,서울특별시,강남구
27,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회02-758-8798,1,서울특별시,강남구
28,서울특별시 강남구 도산대로 458 (청담동) 리츠타워02-758-8726,1,서울특별시,강남구
29,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)02-758-8683",1,서울특별시,강남구
30,서울특별시 강남구 역삼로 123 (역삼동)02-758-8739,1,서울특별시,강남구
31,서울특별시 강남구 영동대로 513 (삼성동) 코엑스02-758-8733,1,서울특별시,강남구
32,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)02-758-8661",1,서울특별시,강남구
33,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)02-758-8626",1,서울특별시,강남구
34,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)02-758-8631",1,서울특별시,강남구
35,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)02-758-8624",1,서울특별시,강남구
36,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)02-758-8659",1,서울특별시,강남구
37,서울특별시 강남구 테헤란로87길 33 (삼성동)02-758-8635,1,서울특별시,강남구
38,"서울특별시 강남구 영동대로86길 12, ,9,10번지 동남유화빌딩 (대치동)02-758-8592",1,서울특별시,강남구
39,서울특별시 강남구 논현로 704 (논현동)02-758-8101,1,서울특별시,강남구
40,서울특별시 강남구 도곡로 511 (대치동)02-758-8063,1,서울특별시,강남구
41,"서울특별시 강남구 테헤란로 305, 한국기술센터 1층 (역삼동)02-6009-3410",1,서울특별시,강남구
42,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)02-2191-1219",1,서울특별시,강남구
43,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)02-758-8038",1,서울특별시,강남구
44,"서울특별시 강남구 테헤란로64길 18, 세화빌딩 1층 (대치동)02-758-8028",1,서울특별시,강남구
45,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)02-758-8013",1,서울특별시,강남구
46,서울특별시 강남구 압구정로42길 32 (신사동)02-758-8231,1,서울특별시,강남구
47,서울특별시 강남구 논현로 401 (역삼동)02-758-8247,1,서울특별시,강남구
48,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)02-758-8116",1,서울특별시,강남구
49,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)02-758-8119",1,서울특별시,강남구
