,광역시도,시도,스타벅스입점,ID,y,x
0,강원도,강릉시,3.0,강릉,3,11
1,강원도,고성군,1.0,고성(강원),0,10
2,강원도,동해시,1.0,동해,4,11
3,강원도,속초시,3.0,속초,1,10
4,강원도,원주시,6.0,원주,5,10
5,강원도,춘천시,5.0,춘천,1,9
6,강원도,홍천군,3.0,홍천,2,8
7,경기도,과천시,3.0,과천,7,8
8,경기도,광명시,8.0,광명,4,4
9,경기도,광주시,2.0,광주,7,9
10,경기도,구리시,3.0,구리,3,8
11,경기도,군포시,4.0,군포,9,5
12,경기도,김포시,8.0,김포,3,4
13,경기도,남양주시,7.0,남양주,2,7
14,경기도,동두천시,2.0,동두천,1,4
15,경기도,시흥시,5.0,시흥,6,3
16,경기도,안성시,2.0,안성,10,4
17,경기도,양주시,4.0,양주,1,3
18,경기도,양평군,1.0,양평,4,9
19,경기도,여주시,3.0,여주,5,9
20,경기도,오산시,3.0,오산,10,3
21,경기도,의왕시,1.0,의왕,9,6
22,경기도,의정부시,10.0,의정부,1,7
23,경기도,이천시,5.0,이천,6,9
24,경기도,파주시,5.0,파주,3,2
25,경기도,평택시,5.0,평택,11,4
26,경기도,포천시,2.0,포천,1,6
27,경기도,하남시,9.0,하남,3,9
28,경기도,화성시,11.0,화성,9,3
29,경상남도,거제시,4.0,거제,22,8
30,경상남도,김해시,9.0,김해,20,9
31,경상남도,사천시,2.0,사천,21,6
32,경상남도,양산시,7.0,양산,19,7
33,경상남도,진주시,6.0,진주,18,6
34,경상남도,통영시,1.0,통영,21,8
35,경상북도,경산시,6.0,경산,12,11
36,경상북도,경주시,7.0,경주,12,12
37,경상북도,구미시,9.0,구미,10,10
38,경상북도,김천시,2.0,김천,11,9
39,경상북도,문경시,1.0,문경,8,10
40,경상북도,안동시,2.0,안동,9,10
41,광주광역시,광산구,11.0,광주 광산,21,2
42,광주광역시,남구,7.0,광주 남구,23,2
43,광주광역시,동구,7.0,광주 동구,23,3
44,광주광역시,북구,10.0,광주 북구,22,3
45,광주광역시,서구,14.0,광주 서구,22,2
46,대구광역시,달서구,18.0,대구 달서,16,8
47,대구광역시,달성군,2.0,대구 달성,16,9
48,대구광역시,동구,8.0,대구 동구,15,10
49,대구광역시,북구,7.0,대구 북구,14,8
50,대구광역시,서구,1.0,대구 서구,15,8
51,대구광역시,수성구,18.0,대구 수성,14,10
52,대구광역시,중구,9.0,대구 중구,14,9
53,대전광역시,대덕구,4.0,대전 대덕,13,5
54,대전광역시,동구,4.0,대전 동구,14,5
55,대전광역시,서구,21.0,대전 서구,16,4
56,대전광역시,유성구,11.0,대전 유성,15,4
57,대전광역시,중구,7.0,대전 중구,15,5
58,부산광역시,강서구,2.0,부산 강서,18,8
59,부산광역시,금정구,7.0,부산 금정,16,10
60,부산광역시,기장군,3.0,부산 기장,16,12
61,부산광역시,남구,6.0,부산 남구,19,11
62,부산광역시,동구,2.0,부산 동구,18,10
63,부산광역시,동래구,7.0,부산 동래,16,11
64,부산광역시,부산진구,17.0,부산 부산진,17,10
65,부산광역시,북구,2.0,부산 북구,17,9
66,부산광역시,사상구,3.0,부산 사상,18,9
67,부산광역시,사하구,7.0,부산 사하,19,10
68,부산광역시,서구,3.0,부산 서구,19,9
69,부산광역시,수영구,7.0,부산 수영,20,11
70,부산광역시,연제구,5.0,부산 연제,17,11
71,부산광역시,중구,6.0,부산 중구,18,11
72,부산광역시,해운대구,27.0,부산 해운대,17,12
73,서울특별시,강남구,76.0,서울 강남,8,6
74,서울특별시,강동구,13.0,서울 강동,5,8
75,서울특별시,강북구,5.0,서울 강북,3,5
76,서울특별시,강서구,14.0,서울 강서,6,4
77,서울특별시,관악구,10.0,서울 관악,7,5
78,서울특별시,광진구,14.0,서울 광진,6,7
79,서울특별시,구로구,10.0,서울 구로,9,4
80,서울특별시,금천구,10.0,서울 금천,8,5
81,서울특별시,노원구,12.0,서울 노원,2,6
82,서울특별시,도봉구,2.0,서울 도봉,2,5
83,서울특별시,동대문구,8.0,서울 동대문,4,7
84,서울특별시,동작구,8.0,서울 동작,6,5
85,서울특별시,마포구,32.0,서울 마포,5,5
86,서울특별시,서대문구,21.0,서울 서대문,4,5
87,서울특별시,서초구,45.0,서울 서초,7,6
88,서울특별시,성동구,9.0,서울 성동,5,7
89,서울특별시,성북구,11.0,서울 성북,3,6
90,서울특별시,송파구,29.0,서울 송파,6,8
